CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG;STAT
CAT048;20;129;04:03:51:227;41,28175187;2,25951778;1158,20524728205;3799,88610349284;7,238281;99,014282;1000;38;4CAD3C;RYR1FB;1013,2;N/A;N/A;N/A;N/A;N/A;88,242188;217;0,352;1536;1216;2077;239,8;93,8287;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:52:578;41,28593767;2,08495416;7,61984136980027;24,9994803596955;1,175781;221,149292;1421;0,25;3424D2;VLG6152;1014;N/A;N/A;N/A;N/A;N/A;63,984375;125;0,188;-32;32;2082;123,2;65,517;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:55:219;41,28212297;2,26544692;1181,06253211387;3874,87719786045;7,5;98,519897;1000;38,75;4CAD3C;RYR1FB;1013,2;N/A;N/A;N/A;N/A;N/A;79,628906;221;0,356;1216;1088;2077;243,32;84,3311;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:56:547;41,28704244;2,08792587;7,61993601825088;24,9997908861182;1,039062;217,96875;1421;0,25;3424D2;VLG6152;1014;N/A;N/A;N/A;N/A;N/A;63,457031;141;0,212;-32;32;2082;138,38;65,6543;No alert, no SPI, aircraft airbone
CAT048;20;129;04:03:59:203;41,28298271;2,27136858;1203,91970073059;3949,86791094496;7,757812;97,844238;1000;39,5;4CAD3C;RYR1FB;1013,2;-22,324;76,289;246;-1,812;244;72,246094;224;0,364;1248;1184;2077;247,06;76,4099;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:00:484;41,28810236;2,09115657;1,79251655936241E-05;5,88096002861857E-05;0,902344;213,129272;1421;0;3424D2;VLG6152;1014;N/A;N/A;N/A;N/A;N/A;62,578125;153;0,232;-544;128;2082;151,8;65,462;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:03:188;41,28414325;2,2772313;1226,77678931691;4024,85836146248;8,011719;97,086182;1000;40,25;4CAD3C;RYR1FB;1013,2;N/A;N/A;N/A;N/A;N/A;66,09375;227;0,368;1248;1120;2077;249,48;71,2738;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:04:398;41,28935407;2,09468989;7,62007414735854;25,0002440656198;0,757812;206,092529;1421;0,25;3424D2;VLG6152;1014;0,176;65,566;162;-0,188;162;61,523438;159;0,24;960;1184;2082;162,58;65,6433;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:07:172;41,28598255;2,28281651;1249,63390246406;4099,84889256019;8,25;96,102905;1000;41;4CAD3C;RYR1FB;1013,2;N/A;N/A;N/A;N/A;N/A;60,46875;231;0,376;1216;992;2077;253,44;63,7372;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:08:281;41,29061146;2,09827691;45,7200990896672;150,000329897344;0,628906;195,78186;1421;1,5;3424D2;VLG6152;1014;N/A;N/A;N/A;N/A;N/A;60,46875;161;0,244;2176;2336;2082;163,02;66,1047;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:11:156;41,28825013;2,28831601;1272,49096808117;4174,83926771942;8,484375;95,004272;1000;41,75;4CAD3C;RYR1FB;1013,2;N/A;N/A;N/A;N/A;N/A;57,480469;235;0,38;1120;1056;2077;257,4;60,1392;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:12:117;41,29173603;2,10169107;91,4400939093903;300,000317701684;0,539062;181,768799;1421;3;3424D2;VLG6152;1014;N/A;N/A;N/A;N/A;N/A;59,765625;156;0,236;2400;2496;2082;160,38;66,4728;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:15:141;41,29074505;2,29368509;1295,34802593663;4249,82961741394;8,714844;93,878174;1000;42,5;4CAD3C;RYR1FB;1013,2;2,637;59,59;262;0,156;260;57,65625;238;0,388;1216;1024;2077;260,26;59,4855;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:15:914;41,29282713;2,10515036;137,160058869049;450,000207539931;0,496094;163,504028;1421;4,5;3424D2;VLG6152;1014;N/A;N/A;N/A;N/A;N/A;61,171875;156;0,24;2272;2176;2082;160,82;66,1432;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:19:117;41,29323836;2,29933089;1318,20486219227;4324,8192400749;8,960938;92,807007;1000;43,25;4CAD3C;RYR1FB;1013,2;N/A;N/A;N/A;N/A;N/A;58,710938;242;0,396;1216;992;2077;265,32;60,1447;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:19:688;41,29403906;2,10846461;175,259993440472;574,999996879237;0,5;144,052734;1421;5,75;3424D2;VLG6152;1014;7,91;67,324;162;1;158;64,6875;153;0,236;2112;2176;2082;161,48;67,4066;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:23:102;41,29570434;2,30517755;1333,44150753971;4374,80823559659;9,21875;91,801758;1000;43,75;4CAD3C;RYR1FB;1013,2;N/A;N/A;N/A;N/A;N/A;59,238281;245;0,4;1152;1216;2077;269,28;60,8588;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:23:500;41,29491033;2,11201192;220,979898328893;724,999689633365;0,578125;127,650146;1421;7,25;3424D2;VLG6152;1014;N/A;N/A;N/A;N/A;N/A;72,421875;154;0,236;2240;2304;2082;162,58;71,3397;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:27:086;41,29814138;2,31095044;1363,91811437439;4474,79710636408;9,476562;90,862427;1000;44,75;4CAD3C;RYR1FB;1013,2;N/A;N/A;N/A;N/A;N/A;59,765625;247;0,404;1536;1632;2077;273,24;61,5564;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:27:375;41,29549991;2,11579312;266,699763635173;874,999252524822;0,707031;116,663818;1421;8,75;3424D2;VLG6152;1014;N/A;N/A;N/A;N/A;N/A;82,96875;154;0,236;2272;2272;2082;163,68;79,7882;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:31:078;41,30054856;2,31683664;1402,01457189489;4599,78548805564;9,742188;89,983521;1000;46;4CAD3C;RYR1FB;1013,2;1,23;61,699;276;0,062;274;60,292969;249;0,408;1952;1920;2077;275;61,7542;No alert, no SPI, aircraft airbone
CAT048;20;129;04:04:31:305;41,29575686;2,11965864;312,41958875116;1024,99868355835;0,863281;110,429077;1421;10,25;3424D2;VLG6152;1014;N/A;N/A;N/A;N/A;N/A;91,230469;154;0,236;2176;1888;2082;164,12;88,5992;No alert, no SPI, aircraft airbone
